x,y,vx,vy,Paddle.y
45,255,2,-2,224
47,253,2,-2,224
49,251,2,-2,224
51,249,2,-2,224
53,247,2,-2,224
55,245,2,-2,224
57,243,2,-2,224
59,241,2,-2,224
61,239,2,-2,224
63,237,2,-2,224
65,235,2,-2,224
67,233,2,-2,224
69,231,2,-2,224
71,229,2,-2,224
73,227,2,-2,224
75,225,2,-2,224
77,223,2,-2,224
79,221,2,-2,224
81,219,2,-2,224
83,217,2,-2,224
85,215,2,-2,224
87,213,2,-2,224
89,211,2,-2,224
91,209,2,-2,224
93,207,2,-2,224
95,205,2,-2,224
97,203,2,-2,224
99,201,2,-2,224
101,199,2,-2,224
103,197,2,-2,224
105,195,2,-2,223
107,193,2,-2,223
109,191,2,-2,221
111,189,2,-2,221
113,187,2,-2,220
115,185,2,-2,219
117,183,2,-2,217
119,181,2,-2,216
121,179,2,-2,213
123,177,2,-2,212
125,175,2,-2,212
127,173,2,-2,212
129,171,2,-2,211
131,169,2,-2,211
133,167,2,-2,211
135,165,2,-2,211
137,163,2,-2,211
139,161,2,-2,211
141,159,2,-2,211
143,157,2,-2,211
145,155,2,-2,211
147,153,2,-2,211
149,151,2,-2,211
151,149,2,-2,211
153,147,2,-2,211
155,145,2,-2,211
157,143,2,-2,211
159,141,2,-2,211
161,139,2,-2,211
163,137,2,-2,211
165,135,2,-2,211
167,133,2,-2,211
169,131,2,-2,211
171,129,2,-2,211
173,127,2,-2,211
175,125,2,-2,211
177,123,2,-2,211
179,121,2,-2,211
181,119,2,-2,211
183,117,2,-2,211
185,115,2,-2,211
187,113,2,-2,211
189,111,2,-2,211
191,109,2,-2,211
193,107,2,-2,211
195,105,2,-2,211
197,103,2,-2,211
199,101,2,-2,211
201,99,2,-2,211
203,97,2,-2,211
205,95,2,-2,211
207,93,2,-2,211
209,91,2,-2,211
211,89,2,-2,211
213,87,2,-2,211
215,85,2,-2,211
217,83,2,-2,211
219,81,2,-2,211
221,79,2,-2,211
223,77,2,-2,211
225,75,2,-2,211
227,73,2,-2,211
229,71,2,-2,211
231,69,2,-2,211
233,67,2,-2,211
235,65,2,-2,211
237,63,2,-2,211
239,61,2,-2,211
241,59,2,-2,211
243,57,2,-2,211
245,55,2,-2,211
247,53,2,-2,211
249,51,2,-2,211
251,49,2,-2,211
253,47,2,-2,211
255,45,2,-2,211
257,43,2,-2,211
259,41,2,-2,211
261,39,2,-2,211
263,37,2,-2,211
265,35,2,-2,211
267,33,2,-2,211
269,31,2,-2,211
271,29,2,-2,211
273,27,2,-2,211
275,25,2,2,211
277,27,2,2,211
279,29,2,2,211
281,31,2,2,211
283,33,2,2,211
285,35,2,2,211
287,37,2,2,211
289,39,2,2,211
291,41,2,2,211
293,43,2,2,211
295,45,2,2,211
297,47,2,2,211
299,49,2,2,211
301,51,2,2,211
303,53,2,2,211
305,55,2,2,211
307,57,2,2,211
309,59,2,2,211
311,61,2,2,211
313,63,2,2,211
315,65,2,2,211
317,67,2,2,211
319,69,2,2,211
321,71,2,2,211
323,73,2,2,211
325,75,2,2,211
327,77,2,2,211
329,79,2,2,211
331,81,2,2,211
333,83,2,2,211
335,85,2,2,211
337,87,2,2,211
339,89,2,2,211
341,91,2,2,211
343,93,2,2,211
345,95,2,2,211
347,97,2,2,211
349,99,2,2,211
351,101,2,2,211
353,103,2,2,211
355,105,2,2,211
357,107,2,2,211
359,109,2,2,211
361,111,2,2,211
363,113,2,2,211
365,115,2,2,211
367,117,2,2,211
369,119,2,2,211
371,121,2,2,211
373,123,2,2,211
375,125,2,2,211
377,127,2,2,211
379,129,2,2,211
381,131,2,2,211
383,133,2,2,212
385,135,2,2,212
387,137,2,2,212
389,139,2,2,213
391,141,2,2,213
393,143,2,2,213
395,145,2,2,213
397,147,2,2,213
399,149,2,2,214
401,151,2,2,214
403,153,2,2,214
405,155,2,2,214
407,157,2,2,214
409,159,2,2,215
411,161,2,2,215
413,163,2,2,215
415,165,2,2,215
417,167,2,2,215
419,169,2,2,215
421,171,2,2,215
423,173,2,2,215
425,175,2,2,215
427,177,2,2,215
429,179,2,2,216
431,181,2,2,216
433,183,2,2,216
435,185,2,2,217
437,187,2,2,217
439,189,2,2,217
441,191,2,2,217
443,193,2,2,217
445,195,2,2,217
447,197,2,2,217
449,199,2,2,217
451,201,2,2,217
453,203,2,2,218
455,205,2,2,218
457,207,2,2,218
459,209,2,2,218
461,211,2,2,218
463,213,2,2,218
465,215,2,2,218
467,217,2,2,218
469,219,2,2,218
471,221,2,2,218
473,223,2,2,219
475,225,2,2,219
477,227,2,2,220
479,229,2,2,220
481,231,2,2,221
483,233,2,2,222
485,235,2,2,222
487,237,2,2,222
489,239,2,2,223
491,241,2,2,224
493,243,2,2,226
495,245,2,2,226
497,247,2,2,226
499,249,2,2,226
501,251,2,2,227
503,253,2,2,229
505,255,2,2,229
507,257,2,2,230
509,259,2,2,230
511,261,2,2,231
513,263,2,2,231
515,265,2,2,231
517,267,2,2,232
519,269,2,2,233
521,271,2,2,233
523,273,2,2,233
525,275,2,2,233
527,277,2,2,233
529,279,2,2,233
531,281,2,2,233
533,283,2,2,233
535,285,2,2,233
537,287,2,2,234
539,289,2,2,235
541,291,2,2,235
543,293,2,2,236
545,295,2,2,237
547,297,2,2,237
549,299,2,2,237
551,301,2,2,239
553,303,2,2,240
555,305,2,2,241
557,307,2,2,242
559,309,2,2,244
561,311,2,2,246
563,313,2,2,246
565,315,2,2,247
567,317,2,2,248
569,319,2,2,248
571,321,2,2,249
573,323,2,2,250
575,325,2,2,251
577,327,2,2,253
579,329,2,2,255
581,331,2,2,255
583,333,2,2,256
585,335,2,2,257
587,337,2,2,258
589,339,2,2,260
591,341,2,2,260
593,343,2,2,262
595,345,2,2,262
597,347,2,2,262
599,349,2,2,262
601,351,2,2,263
603,353,2,2,263
605,355,2,2,264
607,357,2,2,264
609,359,2,2,265
611,361,2,2,266
613,363,2,2,267
615,365,2,2,268
617,367,2,2,268
619,369,2,2,269
621,371,2,2,269
623,373,2,2,270
625,375,2,2,272
627,377,2,2,275
629,379,2,2,276
631,381,2,2,276
633,383,2,2,277
635,385,2,2,277
637,387,2,2,277
639,389,2,2,278
641,391,2,2,279
643,393,2,2,279
645,395,2,2,279
647,397,2,2,280
649,399,2,2,280
651,401,2,2,280
653,403,2,2,280
655,405,2,2,280
657,407,2,2,280
659,409,2,2,281
661,411,2,2,281
663,413,2,2,282
665,415,2,2,282
667,417,2,2,283
669,419,2,2,284
671,421,2,2,284
673,423,2,2,284
675,425,2,-2,285
677,423,2,-2,285
679,421,2,-2,286
681,419,2,-2,286
683,417,2,-2,287
685,415,2,-2,288
687,413,2,-2,288
689,411,2,-2,288
691,409,2,-2,288
693,407,2,-2,289
695,405,2,-2,290
697,403,2,-2,290
699,401,2,-2,290
701,399,2,-2,290
703,397,2,-2,290
705,395,2,-2,290
707,393,2,-2,290
709,391,2,-2,290
711,389,2,-2,290
713,387,2,-2,290
715,385,2,-2,290
717,383,2,-2,290
719,381,2,-2,290
721,379,2,-2,290
723,377,2,-2,290
725,375,2,-2,290
727,373,2,-2,290
729,371,2,-2,290
731,369,2,-2,290
733,367,2,-2,290
735,365,2,-2,290
737,363,2,-2,290
739,361,2,-2,290
741,359,2,-2,290
743,357,2,-2,290
745,355,2,-2,290
747,353,2,-2,290
749,351,2,-2,288
751,349,2,-2,286
753,347,2,-2,283
755,345,2,-2,276
757,343,2,-2,276
759,341,2,-2,269
761,339,2,-2,259
763,337,2,-2,250
765,335,2,-2,243
767,333,2,-2,237
769,331,2,-2,233
771,329,2,-2,231
773,327,2,-2,230
775,325,-2,-2,230
773,323,-2,-2,230
771,321,-2,-2,230
769,319,-2,-2,230
767,317,-2,-2,230
765,315,-2,-2,230
763,313,-2,-2,230
761,311,-2,-2,230
759,309,-2,-2,230
757,307,-2,-2,230
755,305,-2,-2,230
753,303,-2,-2,230
751,301,-2,-2,230
749,299,-2,-2,230
747,297,-2,-2,230
745,295,-2,-2,230
743,293,-2,-2,230
741,291,-2,-2,230
739,289,-2,-2,230
737,287,-2,-2,230
735,285,-2,-2,230
733,283,-2,-2,230
731,281,-2,-2,230
729,279,-2,-2,230
727,277,-2,-2,230
725,275,-2,-2,230
723,273,-2,-2,230
721,271,-2,-2,230
719,269,-2,-2,230
717,267,-2,-2,230
715,265,-2,-2,230
713,263,-2,-2,230
711,261,-2,-2,230
709,259,-2,-2,230
707,257,-2,-2,230
705,255,-2,-2,230
703,253,-2,-2,230
701,251,-2,-2,230
699,249,-2,-2,230
697,247,-2,-2,230
695,245,-2,-2,230
693,243,-2,-2,230
691,241,-2,-2,230
689,239,-2,-2,230
687,237,-2,-2,230
685,235,-2,-2,230
683,233,-2,-2,230
681,231,-2,-2,230
679,229,-2,-2,230
677,227,-2,-2,230
675,225,-2,-2,230
673,223,-2,-2,230
671,221,-2,-2,230
669,219,-2,-2,230
667,217,-2,-2,230
665,215,-2,-2,230
663,213,-2,-2,230
661,211,-2,-2,230
659,209,-2,-2,230
657,207,-2,-2,230
655,205,-2,-2,230
653,203,-2,-2,230
651,201,-2,-2,230
649,199,-2,-2,230
647,197,-2,-2,230
645,195,-2,-2,230
643,193,-2,-2,230
641,191,-2,-2,230
639,189,-2,-2,230
637,187,-2,-2,230
635,185,-2,-2,230
633,183,-2,-2,230
631,181,-2,-2,229
629,179,-2,-2,227
627,177,-2,-2,225
625,175,-2,-2,220
623,173,-2,-2,214
621,171,-2,-2,214
619,169,-2,-2,211
617,167,-2,-2,211
615,165,-2,-2,210
613,163,-2,-2,210
611,161,-2,-2,210
609,159,-2,-2,210
607,157,-2,-2,210
605,155,-2,-2,210
603,153,-2,-2,210
601,151,-2,-2,210
599,149,-2,-2,210
597,147,-2,-2,210
595,145,-2,-2,210
593,143,-2,-2,210
591,141,-2,-2,210
589,139,-2,-2,210
587,137,-2,-2,210
585,135,-2,-2,210
583,133,-2,-2,210
581,131,-2,-2,210
579,129,-2,-2,210
577,127,-2,-2,210
575,125,-2,-2,210
573,123,-2,-2,210
571,121,-2,-2,210
569,119,-2,-2,210
567,117,-2,-2,210
565,115,-2,-2,210
563,113,-2,-2,210
561,111,-2,-2,210
559,109,-2,-2,210
557,107,-2,-2,210
555,105,-2,-2,210
553,103,-2,-2,210
551,101,-2,-2,210
549,99,-2,-2,210
547,97,-2,-2,210
545,95,-2,-2,210
543,93,-2,-2,210
541,91,-2,-2,210
539,89,-2,-2,210
537,87,-2,-2,210
535,85,-2,-2,210
533,83,-2,-2,210
531,81,-2,-2,210
529,79,-2,-2,210
527,77,-2,-2,210
525,75,-2,-2,210
523,73,-2,-2,210
521,71,-2,-2,210
519,69,-2,-2,210
517,67,-2,-2,210
515,65,-2,-2,210
513,63,-2,-2,210
511,61,-2,-2,210
509,59,-2,-2,210
507,57,-2,-2,210
505,55,-2,-2,210
503,53,-2,-2,210
501,51,-2,-2,210
499,49,-2,-2,210
497,47,-2,-2,210
495,45,-2,-2,210
493,43,-2,-2,210
491,41,-2,-2,210
489,39,-2,-2,210
487,37,-2,-2,210
485,35,-2,-2,210
483,33,-2,-2,210
481,31,-2,-2,210
479,29,-2,-2,210
477,27,-2,-2,210
475,25,-2,2,210
473,27,-2,2,210
471,29,-2,2,210
469,31,-2,2,210
467,33,-2,2,210
465,35,-2,2,210
463,37,-2,2,210
461,39,-2,2,210
459,41,-2,2,210
457,43,-2,2,210
455,45,-2,2,210
453,47,-2,2,210
451,49,-2,2,210
449,51,-2,2,210
447,53,-2,2,210
445,55,-2,2,210
443,57,-2,2,210
441,59,-2,2,208
439,61,-2,2,203
437,63,-2,2,203
435,65,-2,2,202
433,67,-2,2,202
431,69,-2,2,201
429,71,-2,2,201
427,73,-2,2,201
425,75,-2,2,199
423,77,-2,2,198
421,79,-2,2,196
419,81,-2,2,194
417,83,-2,2,192
415,85,-2,2,192
413,87,-2,2,191
411,89,-2,2,190
409,91,-2,2,189
407,93,-2,2,187
405,95,-2,2,187
403,97,-2,2,186
401,99,-2,2,184
399,101,-2,2,184
397,103,-2,2,184
395,105,-2,2,182
393,107,-2,2,182
391,109,-2,2,181
389,111,-2,2,179
387,113,-2,2,179
385,115,-2,2,178
383,117,-2,2,177
381,119,-2,2,176
379,121,-2,2,176
377,123,-2,2,175
375,125,-2,2,174
373,127,-2,2,173
371,129,-2,2,173
369,131,-2,2,172
367,133,-2,2,172
365,135,-2,2,172
363,137,-2,2,172
361,139,-2,2,172
359,141,-2,2,172
357,143,-2,2,172
355,145,-2,2,172
353,147,-2,2,172
351,149,-2,2,172
349,151,-2,2,172
347,153,-2,2,170
345,155,-2,2,170
343,157,-2,2,170
341,159,-2,2,170
339,161,-2,2,170
337,163,-2,2,170
335,165,-2,2,170
333,167,-2,2,170
331,169,-2,2,169
329,171,-2,2,169
327,173,-2,2,169
325,175,-2,2,169
323,177,-2,2,169
321,179,-2,2,169
319,181,-2,2,169
317,183,-2,2,169
315,185,-2,2,169
313,187,-2,2,169
311,189,-2,2,169
309,191,-2,2,169
307,193,-2,2,169
305,195,-2,2,169
303,197,-2,2,169
301,199,-2,2,169
299,201,-2,2,169
297,203,-2,2,169
295,205,-2,2,169
293,207,-2,2,169
291,209,-2,2,169
289,211,-2,2,169
287,213,-2,2,169
285,215,-2,2,169
283,217,-2,2,169
281,219,-2,2,169
279,221,-2,2,169
277,223,-2,2,169
275,225,-2,2,169
273,227,-2,2,169
271,229,-2,2,169
269,231,-2,2,169
267,233,-2,2,169
265,235,-2,2,169
263,237,-2,2,169
261,239,-2,2,169
259,241,-2,2,169
257,243,-2,2,169
255,245,-2,2,169
253,247,-2,2,169
251,249,-2,2,169
249,251,-2,2,169
247,253,-2,2,169
245,255,-2,2,169
243,257,-2,2,169
241,259,-2,2,169
239,261,-2,2,169
237,263,-2,2,169
235,265,-2,2,169
233,267,-2,2,169
231,269,-2,2,169
229,271,-2,2,169
227,273,-2,2,169
225,275,-2,2,169
223,277,-2,2,169
221,279,-2,2,169
219,281,-2,2,169
217,283,-2,2,169
215,285,-2,2,169
213,287,-2,2,169
211,289,-2,2,169
209,291,-2,2,169
207,293,-2,2,169
205,295,-2,2,169
203,297,-2,2,169
201,299,-2,2,169
199,301,-2,2,169
197,303,-2,2,169
195,305,-2,2,169
193,307,-2,2,169
191,309,-2,2,169
189,311,-2,2,169
187,313,-2,2,169
185,315,-2,2,169
183,317,-2,2,169
181,319,-2,2,169
179,321,-2,2,169
177,323,-2,2,169
175,325,-2,2,169
173,327,-2,2,169
171,329,-2,2,169
169,331,-2,2,169
167,333,-2,2,169
165,335,-2,2,169
163,337,-2,2,169
161,339,-2,2,169
159,341,-2,2,169
157,343,-2,2,169
155,345,-2,2,169
153,347,-2,2,169
151,349,-2,2,169
149,351,-2,2,169
147,353,-2,2,169
145,355,-2,2,169
143,357,-2,2,169
141,359,-2,2,169
139,361,-2,2,169
137,363,-2,2,169
135,365,-2,2,169
133,367,-2,2,169
131,369,-2,2,169
129,371,-2,2,169
127,373,-2,2,169
125,375,-2,2,169
123,377,-2,2,169
121,379,-2,2,169
119,381,-2,2,169
117,383,-2,2,169
115,385,-2,2,169
113,387,-2,2,169
111,389,-2,2,169
109,391,-2,2,169
107,393,-2,2,169
105,395,-2,2,169
103,397,-2,2,169
101,399,-2,2,169
99,401,-2,2,169
97,403,-2,2,169
95,405,-2,2,169
93,407,-2,2,169
91,409,-2,2,169
89,411,-2,2,169
87,413,-2,2,169
85,415,-2,2,169
83,417,-2,2,169
81,419,-2,2,169
79,421,-2,2,169
77,423,-2,2,169
75,425,-2,-2,169
73,423,-2,-2,169
71,421,-2,-2,169
69,419,-2,-2,169
67,417,-2,-2,169
65,415,-2,-2,169
63,413,-2,-2,169
61,411,-2,-2,169
59,409,-2,-2,169
57,407,-2,-2,169
55,405,-2,-2,169
53,403,-2,-2,169
51,401,-2,-2,169
49,399,-2,-2,169
47,397,-2,-2,169
45,395,-2,-2,169
43,393,-2,-2,168
41,391,-2,-2,168
39,389,-2,-2,168
37,387,-2,-2,168
35,385,-2,-2,166
33,383,-2,-2,165
31,381,-2,-2,165
29,379,-2,-2,164
27,377,-2,-2,164
25,375,2,-2,164
27,373,2,-2,163
29,371,2,-2,163
31,369,2,-2,162
33,367,2,-2,162
35,365,2,-2,162
37,363,2,-2,162
39,361,2,-2,160
41,359,2,-2,160
43,357,2,-2,159
45,355,2,-2,158
47,353,2,-2,158
49,351,2,-2,158
51,349,2,-2,158
53,347,2,-2,158
55,345,2,-2,158
57,343,2,-2,158
59,341,2,-2,158
61,339,2,-2,158
63,337,2,-2,158
65,335,2,-2,158
67,333,2,-2,158
69,331,2,-2,158
71,329,2,-2,158
73,327,2,-2,158
75,325,2,-2,158
77,323,2,-2,158
79,321,2,-2,158
81,319,2,-2,158
83,317,2,-2,158
85,315,2,-2,158
87,313,2,-2,158
89,311,2,-2,158
91,309,2,-2,158
93,307,2,-2,158
95,305,2,-2,158
97,303,2,-2,158
99,301,2,-2,158
101,299,2,-2,158
103,297,2,-2,158
105,295,2,-2,158
107,293,2,-2,158
109,291,2,-2,158
111,289,2,-2,158
113,287,2,-2,158
115,285,2,-2,158
117,283,2,-2,158
119,281,2,-2,158
121,279,2,-2,158
123,277,2,-2,158
125,275,2,-2,158
127,273,2,-2,158
129,271,2,-2,158
131,269,2,-2,158
133,267,2,-2,158
135,265,2,-2,158
137,263,2,-2,158
139,261,2,-2,158
141,259,2,-2,158
143,257,2,-2,158
145,255,2,-2,158
147,253,2,-2,158
149,251,2,-2,158
151,249,2,-2,158
153,247,2,-2,158
155,245,2,-2,158
157,243,2,-2,158
159,241,2,-2,158
161,239,2,-2,158
163,237,2,-2,158
165,235,2,-2,158
167,233,2,-2,158
169,231,2,-2,158
171,229,2,-2,158
173,227,2,-2,158
175,225,2,-2,158
177,223,2,-2,158
179,221,2,-2,158
181,219,2,-2,158
183,217,2,-2,158
185,215,2,-2,158
187,213,2,-2,158
189,211,2,-2,158
191,209,2,-2,158
193,207,2,-2,158
195,205,2,-2,158
197,203,2,-2,158
199,201,2,-2,158
201,199,2,-2,158
203,197,2,-2,158
205,195,2,-2,158
207,193,2,-2,158
209,191,2,-2,158
211,189,2,-2,158
213,187,2,-2,158
215,185,2,-2,159
217,183,2,-2,159
219,181,2,-2,160
221,179,2,-2,160
223,177,2,-2,161
225,175,2,-2,161
227,173,2,-2,162
229,171,2,-2,162
231,169,2,-2,164
233,167,2,-2,164
235,165,2,-2,165
237,163,2,-2,165
239,161,2,-2,165
241,159,2,-2,167
243,157,2,-2,167
245,155,2,-2,168
247,153,2,-2,168
249,151,2,-2,168
251,149,2,-2,168
253,147,2,-2,168
255,145,2,-2,168
257,143,2,-2,168
259,141,2,-2,168
261,139,2,-2,168
263,137,2,-2,168
265,135,2,-2,168
267,133,2,-2,168
269,131,2,-2,168
271,129,2,-2,168
273,127,2,-2,168
275,125,2,-2,168
277,123,2,-2,168
279,121,2,-2,168
281,119,2,-2,168
283,117,2,-2,168
285,115,2,-2,168
